Date,Vegetable,Wholesale Price,Retail Min,Retail Max,Mall Min,Mall Max,Units
2022-01-06,Mango Raw,81,93,103,97,134,1kg
2022-01-06,Mint Leaves,8,9,10,10,13,1kg
2022-01-06,Mushroom,78,90,99,94,129,1kg
2022-01-06,Mustard Leaves,18,21,23,22,30,1kg
2022-01-06,Ladies Finger,55,63,70,66,91,1kg
2022-01-06,Pumpkin,27,31,34,32,45,1kg
2022-01-06,Radish,35,40,44,42,58,1kg
2022-01-06,Ridge Gourd,31,36,39,37,51,1kg
2022-01-06,Shallot,37,43,47,44,61,1kg
2022-01-06,Snake Gourd,35,40,44,42,58,1kg
2022-01-06,Sorrel Leaves,13,15,17,16,21,1kg
2022-01-06,Spinach,10,12,13,12,17,1kg
2022-01-06,Sweet Potato,43,49,55,52,71,1kg
2022-01-07,Onion Big,34,39,43,41,56,1kg
2022-01-07,Onion Small,64,74,81,77,106,1kg
2022-01-07,Tomato,48,55,61,58,79,1kg
2022-01-07,Green Chilli,73,84,93,88,120,1kg
2022-01-07,Beetroot,67,77,85,80,111,1kg
2022-01-07,Potato,23,26,29,28,38,1kg
2022-01-07,Raw Banana,4,5,5,5,7,1kg
2022-01-07,Amaranth Leaves,16,18,20,19,26,1kg
2022-01-07,Amla,80,92,102,96,132,1kg
2022-01-07,Ash gourd,22,25,28,26,36,1kg
2022-01-07,Baby Corn,49,56,62,59,81,1kg
2022-01-07,Banana Flower,18,21,23,22,30,1kg
2022-01-07,Capsicum,40,46,51,48,66,1kg
2022-01-07,Bitter Gourd,57,66,72,68,94,1kg
2022-01-07,Bottle Gourd,25,29,32,30,41,1kg
2022-01-07,Butter Beans,48,55,61,58,79,1kg
2022-01-07,Broad Beans,66,76,84,79,109,1kg
2022-01-07,Cabbage,47,54,60,56,78,1kg
2022-01-07,Carrot,71,82,90,85,117,1kg
2022-01-07,Cauliflower,45,52,57,54,74,1kg
2022-01-07,Cluster beans,43,49,55,52,71,1kg
2022-01-07,Coconut,34,39,43,41,56,1kg
2022-01-07,Colocasia Leaves,11,13,14,13,18,1kg
2022-01-07,Colocasia,23,26,29,28,38,1kg
